country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB","06-04-2026 18:00:00",28.60909,77.0325413,PM10,59,265,154
India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC","06-04-2026 18:00:00","28.594004 ","76.909423 ",PM10,17,213,103
India,Delhi,Delhi,"NSUT Jaffarpur, Delhi - DPCC","06-04-2026 18:00:00","28.594004 ","76.909423 ",NO2,1,105,34
India,Delhi,Delhi,"Najafgarh, Delhi - DPCC","06-04-2026 18:00:00",28.570173,76.933762,NH3,9,11,10
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","06-04-2026 18:00:00",28.567890,77.250515,SO2,2,26,12
India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC","06-04-2026 18:00:00",28.567890,77.250515,CO,34,105,53
India,Delhi,Delhi,"New Moti Bagh, Delhi - MHUA","06-04-2026 18:00:00",28.57834,77.18400,CO,14,70,19
India,Delhi,Delhi,"North Campus, DU, Delhi - IMD","06-04-2026 18:00:00",28.6573814,77.1585447,PM10,NA,NA,NA
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","06-04-2026 18:00:00",28.530785,77.271255,PM10,62,223,129
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","06-04-2026 18:00:00",28.623763,77.287209,NH3,6,8,7
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","06-04-2026 18:00:00",28.699793,77.165453,PM10,135,303,186
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","06-04-2026 18:00:00",28.699793,77.165453,SO2,7,31,20
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","06-04-2026 18:00:00",28.699793,77.165453,OZONE,4,89,84
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","06-04-2026 18:00:00",23.107969,72.574648,PM2.5,14,78,39
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","06-04-2026 18:00:00",23.107969,72.574648,PM10,76,174,122
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","06-04-2026 18:00:00",23.107969,72.574648,SO2,5,22,9
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","06-04-2026 18:00:00",22.977134,72.553024,OZONE,1,58,49
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","06-04-2026 18:00:00",23.020509,72.579261,NO2,8,110,38
India,Delhi,Delhi,"Shadipur, Delhi - CPCB","06-04-2026 18:00:00",28.6514781,77.1473105,OZONE,6,36,33
India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC","06-04-2026 18:00:00",28.710508,77.249485,SO2,20,49,29
India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC","06-04-2026 18:00:00",28.531346,77.190156,NO2,34,78,54
India,Delhi,Delhi,"Talkatora Garden, Delhi - DPCC","06-04-2026 18:00:00",28.621810,77.1944633,OZONE,2,15,13
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","06-04-2026 18:00:00",28.672342,77.315260,PM2.5,30,336,141
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","06-04-2026 18:00:00",28.672342,77.315260,NH3,6,8,7
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","06-04-2026 18:00:00",28.672342,77.315260,SO2,13,45,21
India,Delhi,Delhi,"JNU, Delhi - DPCC","06-04-2026 18:00:00","28.540721 ","77.168544 ",OZONE,3,37,34
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","06-04-2026 18:00:00",28.732820,77.170633,PM10,75,319,173
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","06-04-2026 18:00:00",28.732820,77.170633,NO2,24,91,58
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","06-04-2026 18:00:00",28.732820,77.170633,CO,14,60,17
India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC","06-04-2026 18:00:00",28.732820,77.170633,OZONE,6,88,85
